categoryId;parentID;description;metakeywords;metadescription;active
3;1;Deutsch;;Bei uns finden Sie exklusive Bücher zu regionalen Themen und von Autoren aus Mecklenburg-Vorpommern und Brandenburg. Fesselnde Kriminalfälle und lokale Geschichte.;1
7;3;Bestseller;;;1
16;3;Ostalgie;Ostalgie, Leben in der DDR, Wende 1989, Mauerfall, Bücher Ostalgie, Ostalgie Bücher, Bücher Leben in der DDR, Bücher DDR Romane;Ostalgie-Bücher von mecklenbook werfen einen humorvollen Blick in die Vergangenheit des deutschen Ostens. ✔ Hier mecklenbook bestellen!;1
17;3;Essen & Trinken;Kochbücher, Kochbücher Mecklenburger Küche, Backbücher, Vegane Ernährung, Vegane Ernährung Kochbuch, Sonntagskuchen, Sonntagskuchen Rezepte, Kochbuch saisonale Produkte, Kochbuch saisonale Gerichte;In den Koch- und Backbüchern von mecklenbook finden Sie alles außer Einheitsbrei ✔ Jetzt bei mecklenbook.de bestellen!;1
22;3;Kinder;Kinderbücher mecklenbook, Kinderbücher ab 3 Jahre, Kinderbücher ab 10 Jahre, Kinderbücher ab 7 Jahre, Kinderbücher zum Vorlesen;Kinderbücher von mecklenbook bieten Spiel, Spaß und Spannung und noch vieles mehr ✔ Jetzt bei mecklenbook.de bestellen!;1
26;3;Zeitgeschehen;Bücher 1945, Bücher Zeitzeugenberichte, Bücher Erfahrungen 1945, Bücher Nachkriegszeit, Bücher über Moskau, Bücher über Russland, Bücher deutsch-deutsche Geschichte;Zeitzeugenberichte und Tatsachenromane von mecklenbook behandeln beinah unbeleuchtete Aspekte der deutsch-deutschen Geschichte.;1
38;3;Blog;;;1
43;3;Geschenke & Mehr;Geschenkideen, Geschenkideen diy, Geschenkideen handgemacht, Lesespaß verschenken, Geschenkideen für Bücherwürmer, Geschenkideen für Leseratten, Geschenkideen für Bücherfreunde;Mit den Geschenkideen von mecklenbook Verschenken Sie Spaß und tolle Anregungen zum Selbermachen ✔ Jetzt bei mecklenbook.de bestellen!;1
44;3;Regionales;Bücher Mecklenburg-Vorpommern, Bücher Müritz-Region, Bücher Seenplatte, Bücher Neubrandenburg, ;Regionale Bücher mit Geschichten aus dem Nordosten Deutschlands. ✔ Jetzt mecklenbook bestellen!;1
47;1;NKShop;Nordkurier abonnieren, Nordkurier lesen, Rezepthefte Nordkurier, Ratgebermagazine Nordkurier, Zeitung lesen Nordkurier;Lesen Sie den Nordkurier digital oder gedruckt. Hier können Sie den Nordkurier abonnieren. Bestellen Sie hier Rezepthefte und Ratgebermagazine.;1
39;38;Interviews;;;1
40;38;Veranstaltungen;;;1
41;38;Fotoaktionen;;;1
42;38;aus dem Regal;;;1
48;47;Nordkurier gedruckt;Nordkurier, Nordkurier abonnieren, Nordkurier lesen, Zeitung lesen Nordkurier, Tageszeitung Nordkurier, regionale Nachrichten aus Mecklenburg-Vorpommern, regionale Nachrichten aus der Uckermark;Der Nordkurier erreicht mit 13 Lokalausgaben rund 200.000 Leser in MV und der Uckermark. Bestellen Sie Ihr Abonnement bequem im Nordkurier-Shop.;1
49;47;Nordkurier digital;Nordkurier digital, Nordkurier digital abonnieren, Nordkurier digital lesen, Zeitung lesen Nordkurier, Tageszeitung Nordkurier, regionale Nachrichten aus Mecklenburg-Vorpommern, regionale Nachrichten aus der Uckermark, Nordkurier in der App lesen;Mit Nordkurier digital bleiben auch unterwegs keine Nachrichten auf der Strecke. Uneingeschränkter Zugang zu den Nordkurier-Inhalten.;1
50;47;Bücher;;;0
51;47;Magazine;Ratgebermagazine, historische Ereignisse, Auskennertipps, Magazine Nordkurier, Magazine Nordkurier Mediengruppe, Ausflugtipps für Familien, Ausflugtipps für Freizeitaktivitäten, Rezeptmagazine;Magazine der Nordkurier Mediengruppe einfach im Shop des Nordkurier bequem bestellen. Tipps für Familie und Freizeit in Mecklenburg-Vorpommern.;1
52;47;Geschenkideen;Geschenkideen, Geschenkideen diy, Geschenkideen handgemacht, Tageszeitung verschenken, digitale Tageszeitung verschenken;Im Nordkurier-Shop finden Sie mit wenigen Klicks passende Geschenke und kleine Aufmerksamkeiten für Freunde und Familie.;1
53;51;Regionales;Ausflugtipps Mecklenburg-Vorpommern, Ausflugtipps Uckermark, Reisetipps, Ausflugsziele Mecklenburg-Vorpommern, Freizeit Angebote für die Familie, Freizeit Angebote Mecklenburg-Vorpommern, historische Ereignisse in Mecklenburg-Vorpommern, historische Ereignisse,Spezialausgaben vom Nordkurier;Der Nordkurier Shop bietet hier Spezialausgaben zu historischen Ereignissen und Auskennertipps aus der Region Mecklenburg Vorpommern.;1
54;51;Rezepte;Rezeptmagazine, Rezepte Mecklenburger Küche, Backrezepte, Sonntagskuchen, Sonntagskuchen Rezepte, Rezepte saisonale Produkte, Rezepte saisonale Gerichte, Rezepte Hausmannskost;Der Nordkurier Shop bietet hier Rezeptmagazine aus der Region Mecklenburg Vorpommern an mit vielen leckeren Ideen zum Nachkochen und Nachbacken.;1
55;51;Touristische Magazine;Ausflugstipps Mecklenburg-Vorpommern, Ausflugtipps Uckermark, Reisetipps, Ausflugsziele Mecklenburg-Vorpommern, Freizeit Angebote für die Familie, Freizeit Angebote Mecklenburg-Vorpommern, historische Ereignisse in Mecklenburg-Vorpommern, historische Ereignisse,Spezialausgaben vom Nordkurier;Der Nordkurier Shop bietet hier Ausflugsziele und Freizeittipps aus der Region Mecklenburg Vorpommern und der Uckermark. Hier im Nordkurier Shop bestellen!;1
56;48;Jetzt testen;Nordkurier Tageszeitung, Nordkurier Tageszeitung testen, Nordkurier Tageszeitung im Abo testen, regionale Nachrichten aus Mecklenburg-Vorpommern, regionale aus der Uckermark;Testen Sie die Tageszeitung vom Nordkurier und verpassen Sie keine Nachrichten aus dem Nordosten Deutschlands. Hier im Nordkurier-Shop bestellen!;1
57;48;Abonnieren;Nordkurier Tageszeitung, Nordkurier Tageszeitung abonnieren, Nordkurier Tageszeitung im Abo, regionale Nachrichten aus Mecklenburg-Vorpommern, regionale aus der Uckermark;Abonnieren Sie die Tageszeitung vom Nordkurier und verpassen Sie keine Nachrichten aus dem Nordosten Deutschlands. Hier im Nordkurier-Shop bestellen!;1
58;48;Leser werben Leser;Zeitung lesen, Leser werben Leser, Leser werben Leser Prämien, Tageszeitung Nordkurier, Nordkurier, regionale Tageszeitung Nordkurier, Nordkurier für Mecklenburg-Vorpommern, Nordkurier für die Uckermarkk;Überzeugen Sie andere Leser von den Vorzügen des täglichen Zeitungslesens und sichern Sie sich tolle Prämien! ;1
60;49;Jetzt testen;Nordkurier digital, Nordkurier digital abonnieren und testen, Nordkurier digital testen und lesen, Zeitung digital lesen Nordkurier, digitale Tageszeitung Nordkurier, regionale Nachrichten aus Mecklenburg-Vorpommern, regionale Nachrichten aus der Uckermark, Nordkurier in der App lesen;Testen Sie die digitale Tageszeitung vom Nordkurier und verpassen Sie keine Nachrichten mehr. Hier im Nordkurier-Shop bestellen!;1
61;49;Abonnieren;Nordkurier digital abonnieren, Nordkurier digitale Tageszeitung abonnieren, Nordkurier digitale Tageszeitung abonnieren, Nordkurier digital Tageszeitung im Abo, regionale Nachrichten aus Mecklenburg-Vorpommern, regionale aus der Uckermark;Abonnieren Sie die digitale Tageszeitung vom Nordkurier und lesen Sie Ihre Nachrichten auch unterwegs. Hier im Nordkurier-Shop bestellen!;1
62;49;Leser werben Leser;Zeitung online lesen, Leser werben Leser, Leser werben Leser Prämien, Tageszeitung digital Nordkurier, Nordkurier, regionale Tageszeitung Nordkurier online lesen, Nordkurier für Mecklenburg-Vorpommern, Nordkurier für die Uckermarkk;Überzeugen Sie andere Leser von den Vorzügen des täglichen Zeitungslesens und sichern Sie sich tolle Prämien! ;1
63;49;Abonnieren mit Gerät;Nordkurier digital abonnieren, Nordkurier digitale Tageszeitung abonnieren, Nordkurier digitale Tageszeitung abonnieren, Nordkurier digital Tageszeitung im Abo, regionale Nachrichten aus Mecklenburg-Vorpommern, regionale aus der Uckermark;Abonnieren Sie die digitale Tageszeitung vom Nordkurier und lesen Sie Ihre Nachrichten auch unterwegs. Hier im Nordkurier-Shop bestellen!;1
64;49;Alles über das E-Paper & die App;Nordkurier online lesen, Nordkurier unterwegs lesen, Nordkurier digital abonnieren, Nordkurier digitale Tageszeitung abonnieren, Nordkurier digitale Tageszeitung abonnieren, Nordkurier digital Tageszeitung im Abo, regionale Nachrichten aus Mecklenburg-Vorpommern, regionale aus der Uckermark;Lesen Sie die digitale Zeitung Nordkurier als App und im Web. Hier im Nordkurier Shop bestellen!;1
67;47;Abonnenten;Nordkurier Tageszeitung, Nordkurier Tageszeitung abonnieren, Nordkurier Tageszeitung im Abo, regionale Nachrichten aus Mecklenburg-Vorpommern, regionale aus der Uckermark;Abonnieren Sie die Tageszeitung vom Nordkurier und verpassen Sie auch unterwegs keine Nachrichten aus dem Nordosten Deutschlands.;1
